no,lng,lat,sites,hotel
227,-73.9923179,40.7435682,,N
228,-73.9951595,40.744765,,N
229,-73.998,40.7459612,,N
230,-74.0008813,40.7471747,,N
231,-74.003684,40.748355,,N
232,-74.0082754,40.7502561,,N
233,-73.9112343,40.8716544,,N
234,-73.9126036,40.8722414,,N
235,-73.9522263,40.8123183,,N
236,-73.95177,40.81294,,N
237,-73.951322,40.813567,,N
238,-73.95086,40.814187,,N
239,-73.9497399,40.8179231,,N
240,-73.9485379,40.821494,,N
241,-73.9808938,40.714251,,N
242,-73.9808346,40.7135531,,N
243,-73.9806225,40.7115207,,N
244,-73.973464,40.76366,,N
245,-73.974111,40.7639334,,N
246,-73.927319,40.855598,,N
247,-73.928716,40.856182,,N
248,-73.9297266,40.8566083,,N
249,-73.932043,40.857841,,N
250,-73.932983,40.858113,,N
251,-73.986846,40.745301,,N
252,-73.9886122,40.7460455,,N
253,-73.990067,40.746659,,N
254,-73.9929106,40.7478553,,N
255,-73.9957492,40.7490521,,N
256,-73.998626,40.7502567,,N
257,-74.0014254,40.7514485,,N
258,-74.0042703,40.7526457,,N
259,-74.0070337,40.75379,,N
260,-73.9371437,40.8134293,,N
261,-73.9300037,40.8621121,,N
262,-73.9296676,40.8622107,,N
263,-73.9286059,40.8626215,,N
264,-73.927766,40.862926,,N
265,-73.926923,40.863238,,N
266,-73.926011,40.863575,,N
267,-73.923767,40.864403,,N
268,-73.921884,40.8651,,N
269,-73.919996,40.865797,,N
270,-73.918596,40.866315,,N
271,-73.917205,40.866813,,N
272,-73.9424535,40.8272063,,N
273,-73.941997,40.827823,,N
274,-73.94154,40.828447,,N
275,-73.941078,40.829083,,N
276,-73.9402243,40.830292,,N
277,-73.9717336,40.7820374,,N
278,-73.9096352,40.8745523,,N
279,-73.9110993,40.8746713,,N
280,-73.9122655,40.8750497,,N
281,-73.9128004,40.8756706,,N
282,-74.0094775,40.7045537,,N
283,-73.958809,40.759913,,N
284,-73.9583477,40.7605433,,N
285,-73.9579282,40.7611623,,N
286,-73.9574532,40.7617963,,N
287,-73.9569952,40.7624221,,N
288,-73.9565374,40.7630478,,N
289,-73.956084,40.7636674,,N
290,-73.9556238,40.7642963,,N
291,-73.9551668,40.7649208,,N
292,-73.9547034,40.765554,,N
293,-73.9542449,40.7661805,,N
294,-73.9537482,40.7668593,,N
295,-73.953249,40.7675414,,N
296,-73.9527843,40.7681847,,N
297,-73.9523229,40.7688236,,N
298,-73.9518686,40.7694526,,N
299,-73.9514149,40.7700762,,N
300,-73.9509381,40.7707103,,N
301,-73.9504368,40.7714021,,N
302,-73.9499424,40.7720657,,N
303,-73.9494729,40.7727099,,N
304,-73.9490092,40.773343,,N
305,-73.9485506,40.7739762,,N
306,-73.9480817,40.7746141,,N
307,-73.9476241,40.7752458,,N
308,-73.947122,40.775929,,N
309,-73.9466301,40.7766012,,N
310,-73.9461727,40.7772273,,N
311,-73.9457131,40.7778572,,N
312,-73.9452574,40.7784828,,N
313,-73.9447758,40.779146,,N
314,-73.9443355,40.7797706,,N
315,-73.9759984,40.7812798,,N
316,-73.9788209,40.7824641,,N
317,-73.9805809,40.7832069,,N
318,-73.9816684,40.7836627,,N
319,-73.9833075,40.784357,,N
320,-73.9313827,40.8474237,,N
321,-73.932849,40.848038,,N
322,-73.934239,40.848626,,N
323,-73.935471,40.849145,,N
324,-73.936397,40.849541,,N
325,-73.9396399,40.8501784,,N
326,-73.940603,40.8503746,,N
327,-73.9414149,40.848223,,N
328,-73.9402247,40.8513418,,N
329,-73.938652,40.854677,,N
330,-73.9379223,40.8556043,,N
331,-73.936584,40.8573519,,N
332,-73.9903368,40.7371276,,N
333,-73.9901312,40.7378014,,N
334,-73.9899514,40.7384888,,N
335,-73.9897657,40.739176,,N
336,-73.9895753,40.7398576,,N
337,-73.9893518,40.7405826,,N
338,-73.9891329,40.7413706,,N
339,-73.9891036,40.7422193,,N
340,-73.9891667,40.7430463,,N
341,-73.9890293,40.7438037,,N
342,-73.9888931,40.7445356,,N
343,-73.9887531,40.7452886,,N
344,-73.9884704,40.7468077,,N
345,-73.9883321,40.7475512,,N
346,-73.9878205,40.7506824,,N
347,-73.9876732,40.751444,,N
348,-73.9875229,40.7521844,,N
349,-73.9873363,40.7529083,,N
350,-73.987107,40.753627,,N
351,-73.9868871,40.754331,,N
352,-73.9866613,40.755051,,N
353,-73.9864171,40.7558122,,N
354,-73.9855335,40.7579634,,N
355,-73.9851384,40.7594263,,N
356,-73.9848631,40.7601316,,N
357,-73.9845109,40.7608012,,N
358,-73.9840983,40.7614503,,N
359,-73.9836782,40.7620858,,N
360,-73.9832662,40.7627246,,N
361,-73.9829033,40.763382,,N
362,-73.9825176,40.764058,,N
363,-73.9822627,40.7647568,,N
364,-73.9820384,40.7654683,,N
365,-73.9818927,40.7663007,,N
366,-73.981762,40.7671415,,N
367,-74.014223,40.7045956,,N
368,-74.0132769,40.7058713,,N
369,-74.0119439,40.7074505,,N
370,-74.0112329,40.7082967,,N
371,-74.0109934,40.7085817,,N
372,-74.0108222,40.7087855,,N
373,-74.0099714,40.709798,,N
374,-74.0095316,40.7103215,,N
375,-74.0094602,40.7104064,,N
376,-74.0090583,40.7108847,,N
377,-74.0086478,40.7113846,,N
378,-74.0058865,40.7146812,,N
379,-74.00542,40.715236,,N
380,-74.004976,40.71576,,N
381,-74.0045303,40.7162869,,N
382,-74.003533,40.717449,,N
383,-74.003043,40.7180338,,N
384,-74.0025285,40.7186389,,N
385,-74.002091,40.719153,,N
386,-74.0018769,40.7194058,,N
387,-74.001425,40.719938,,N
388,-74.0006449,40.7208634,,N
389,-73.9998554,40.7217891,,N
390,-73.998812,40.723021,,N
391,-73.997785,40.724235,,N
392,-73.9967146,40.7255012,,N
393,-73.99527,40.727211,,N
394,-73.9947496,40.7278266,,N
395,-73.994252,40.728412,,N
396,-73.993747,40.729008,,N
397,-73.993262,40.72958,,N
398,-73.992841,40.730079,,N
399,-73.9923997,40.7306011,,N
400,-73.991921,40.731166,,N
401,-73.9914619,40.7317445,,N
402,-73.991289,40.732449,,N
403,-73.991114,40.733214,,N
404,-73.990945,40.733978,,N
405,-74.0132,40.7040559,,N
406,-74.0133173,40.705045,,N
407,-73.9822067,40.7689456,,N
408,-73.9822655,40.7706087,,N
409,-73.9822732,40.7714459,,N
410,-73.9822975,40.7726643,,N
411,-73.982316,40.7730913,,N
412,-73.9823484,40.7739304,,N
413,-73.9823166,40.7747353,,N
414,-73.9822846,40.7755452,,N
415,-73.9822527,40.7763504,,N
416,-73.9822224,40.7771394,,N
417,-73.9820581,40.7787921,,N
418,-73.9818489,40.7795997,,N
419,-73.9816348,40.7803332,,N
420,-73.9814257,40.7810582,,N
421,-73.9811764,40.7818019,,N
422,-73.9809212,40.7825164,,N
423,-73.9800838,40.783893,,N
424,-73.9791229,40.7852008,,N
425,-73.9786487,40.7858192,,N
426,-73.9781723,40.7864652,,N
427,-73.9771707,40.7877015,,N
428,-73.9766072,40.7883609,,N
429,-73.976052,40.7890078,,N
430,-73.9755987,40.7896182,,N
431,-73.9746797,40.7908742,,N
432,-73.974213,40.7915093,,N
433,-73.9737551,40.7921441,,N
434,-73.9732956,40.792771,,N
435,-73.9728453,40.7934001,,N
436,-73.9724164,40.794038,,N
437,-73.9718978,40.7947185,,N
438,-73.9714047,40.7953835,,N
439,-73.9709401,40.7960068,,N
440,-73.9704821,40.796633,,N
441,-73.9700162,40.7972661,,N
442,-73.9695597,40.7978923,,N
443,-73.9691049,40.7985191,,N
444,-73.9686574,40.7991535,,N
445,-73.9683196,40.7998293,,N
446,-73.9680997,40.8005442,,N
447,-73.9679079,40.8022513,,N
448,-73.9672429,40.8036112,,N
449,-73.9667891,40.8042102,,N
450,-73.9663136,40.8048633,,N
451,-73.9658601,40.8054904,,N
452,-73.9654027,40.8061176,,N
453,-73.9649437,40.8067507,,N
454,-73.9644889,40.8073871,,N
455,-73.9616861,40.8112589,,N
456,-73.9588359,40.8151853,,N
457,-73.9583906,40.8158098,,N
458,-73.9570603,40.8176184,,N
459,-73.9566189,40.8182375,,N
460,-73.9552062,40.8201687,,N
461,-73.9542759,40.8214465,,N
462,-73.9538135,40.8220806,,N
463,-73.9533594,40.822698,,N
464,-73.9529044,40.823318,,N
465,-73.9524477,40.8239402,,N
466,-73.9519855,40.8245785,,N
467,-73.9515358,40.8251983,,N
468,-73.9510825,40.8258119,,N
469,-73.9505823,40.8264958,,N
470,-73.9500994,40.8271631,,N
471,-73.9496453,40.8277858,,N
472,-73.949184,40.8284141,,N
473,-73.948729,40.8290398,,N
474,-73.9482817,40.8296535,,N
475,-73.9478285,40.8302751,,N
476,-73.9473687,40.8309006,,N
477,-73.9469124,40.8315246,,N
478,-73.9459609,40.8328285,,N
479,-73.945481,40.8334857,,N
480,-73.9450015,40.8341411,,N
481,-73.9445661,40.834739,,N
482,-73.9436514,40.8359959,,N
483,-73.9431927,40.8366143,,N
484,-73.9427349,40.8372479,,N
485,-73.9422972,40.8378398,,N
486,-73.9418259,40.8384885,,N
487,-73.9412769,40.8392425,,N
488,-73.9407749,40.8399295,,N
489,-73.9398609,40.8411266,,N
490,-73.9392999,40.8416786,,N
491,-73.939255,40.842436,,N
492,-73.939177,40.843223,,N
493,-73.939025,40.843942,,N
494,-73.9388653,40.8446886,,N
495,-73.9386774,40.8454318,,N
496,-73.938451,40.846193,,N
497,-73.938228,40.8469437,,N
498,-73.938036,40.847558,,N
499,-73.937975,40.847711,,N
500,-73.9376885,40.8483904,,N
501,-73.9370276,40.8489682,,N
502,-73.9357231,40.8501764,,N
503,-73.935426,40.850774,,N
504,-73.935083,40.851434,,N
505,-73.934776,40.852058,,N
506,-73.93443,40.852729,,N
507,-73.934193,40.8532,,N
508,-73.9337034,40.8541572,,N
509,-73.933312,40.855335,,N
510,-73.932761,40.856503,,N
511,-73.932631,40.856716,,N
512,-73.931818,40.858271,,N
513,-73.930771,40.860641,,N
514,-73.9300194,40.8634187,,N
515,-73.9289023,40.8646634,,N
516,-73.9281099,40.8650857,,N
517,-73.9272714,40.8655306,,N
518,-73.925872,40.866025,,N
519,-73.925005,40.866336,,N
520,-73.92311,40.867016,,N
521,-73.9212171,40.867707,,N
522,-73.9197555,40.8681187,,N
523,-73.918561,40.868482,,N
524,-73.917594,40.868885,,N
525,-73.9167458,40.8693238,,N
526,-73.9158491,40.8698643,,N
527,-73.9151316,40.8704145,,N
528,-73.9132764,40.871714,,N
529,-73.9082537,40.875638,,N
530,-73.9604156,40.7815417,,N
531,-73.9588013,40.7808601,,N
532,-73.9570904,40.7801372,,N
533,-73.9555814,40.7795072,,N
534,-73.9539755,40.7788301,,N
535,-73.9517388,40.777887,,N
536,-73.9493698,40.776888,,N
537,-73.945275,40.775148,,N
538,-73.9447748,40.7749461,,N
539,-74.005951,40.707205,,N
540,-74.0068357,40.707855,,N
541,-73.994118,40.735313,,N
542,-73.997341,40.736668,,N
543,-74.0001742,40.7378614,,N
544,-74.0024001,40.7387436,,N
545,-74.0030301,40.7390953,,N
546,-74.003865,40.739418,,N
547,-74.0053043,40.7400297,,N
548,-74.0074994,40.7409399,,N
549,-74.00874,40.7414704,,N
550,-73.9346816,40.8429382,,N
551,-73.936126,40.84355,,N
552,-73.937518,40.844137,,N
553,-73.9387288,40.8446487,,N
554,-73.94261,40.846231,,N
555,-74.009016,40.705313,,N
556,-74.0090528,40.7055418,,N
557,-74.0167436,40.7064989,,N
558,-73.939018,40.810856,,N
559,-73.9421726,40.8121691,,N
560,-73.9451819,40.8134246,,N
561,-73.947947,40.81458,,N
562,-73.9593697,40.8193946,,N
563,-73.944597,40.803228,,N
564,-73.9731567,40.7985787,,N
565,-74.0088463,40.7138056,,N
566,-74.010128,40.714383,,N
567,-74.0113427,40.714904,,N
568,-74.0132124,40.7152226,,N
569,-74.0155746,40.7155725,,N
570,-74.0153819,40.7158285,,N
571,-74.0164429,40.7163193,,N
572,-73.9939293,40.7142872,,N
573,-73.9928237,40.7164855,,N
574,-73.9922172,40.717668,,N
575,-73.9917491,40.7185836,,N
576,-73.9912489,40.7195624,,N
577,-73.9906322,40.7207678,,N
578,-73.9900405,40.7219247,,N
579,-73.9918058,40.7385117,,N
580,-73.995018,40.73986,,N
581,-73.997862,40.741056,,N
582,-74.0006951,40.7422581,,N
583,-74.0035806,40.7434761,,N
584,-74.006385,40.744646,,N
585,-74.0081247,40.7453865,,N
586,-73.967994,40.771147,,N
587,-73.9663887,40.7704757,,N
588,-73.9646697,40.769761,,N
589,-73.9631538,40.7691229,,N
590,-73.9615495,40.7684519,,N
591,-73.9593042,40.7675129,,N
592,-73.9569389,40.7664987,,N
593,-74.0011515,40.7317982,,N
594,-74.0029381,40.7311376,,N
595,-73.9121747,40.8703989,,N
596,-73.9139795,40.8711588,,N
597,-73.915056,40.871603,,N
598,-73.916278,40.872116,,N
599,-73.917176,40.872499,,N
600,-73.918459,40.873022,,N
601,-73.947737,40.8045555,,N
602,-73.952857,40.806709,,N
603,-73.9535,40.806981,,N
604,-73.9549589,40.8075923,,N
605,-73.9563487,40.808177,,N
606,-73.9940925,40.720336,,N
607,-73.9929178,40.7199073,,N
608,-73.9921032,40.7198216,,N
609,-73.9902756,40.7191047,,N
610,-73.989732,40.7191021,,N
611,-73.9889804,40.718874,,N
612,-73.9881645,40.7186264,,N
613,-73.9873747,40.7183868,,N
614,-73.9839974,40.717431,,N
615,-73.982289,40.716976,,N
616,-73.981438,40.716718,,N
617,-73.9805736,40.716454,,N
618,-73.9789246,40.715957,,N
619,-73.9780769,40.7156979,,N
620,-73.9542665,40.8110184,,N
621,-74.0061645,40.7163029,,N
622,-74.0066823,40.7165394,,N
623,-74.0079572,40.7171217,,N
624,-74.009,40.717598,,N
625,-74.010201,40.707694,Wall Street,N
626,-74.008996,40.706953,,N
627,-74.0074544,40.7060628,,N
628,-74.006766,40.705624,,N
629,-73.988194,40.743451,,N
630,-73.9865977,40.7427711,,N
631,-73.9849234,40.7420643,,N
632,-73.9833636,40.7414058,,N
633,-73.981759,40.7407284,,N
634,-73.9795317,40.7397942,,N
635,-73.9781935,40.7392313,,N
636,-73.977148,40.738796,,N
637,-73.9192622,40.8709698,,N
638,-73.915681,40.868889,,N
639,-73.971189,40.766767,,N
640,-73.9695848,40.7660912,,N
641,-73.9678596,40.7653743,,N
642,-73.9663588,40.7647323,,N
643,-73.9647558,40.764057,,N
644,-73.962515,40.763113,,N
645,-73.9601308,40.7621165,,N
646,-73.9839656,40.7754225,,N
647,-74.0092662,40.7132584,,N
648,-74.0105666,40.7138543,,N
649,-74.011527,40.714294,,N
650,-73.9407716,40.8471723,,N
651,-73.940691,40.847387,,N
652,-73.9949663,40.7206316,,N
653,-73.9957503,40.7208958,,N
654,-73.9965747,40.7211736,,N
655,-73.9973979,40.7214509,,N
656,-73.9977854,40.7215815,,N
657,-73.965617,40.7744096,,N
658,-73.9640105,40.7737351,,N
659,-73.962294,40.7730162,,N
660,-73.9607795,40.7723778,,N
661,-73.9591761,40.7717042,,N
662,-73.9569342,40.7707623,,N
663,-73.9545659,40.7697674,,N
664,-74.0045513,40.7255633,,N
665,-74.004739,40.724267,,N
666,-74.0053609,40.7182987,,N
667,-74.0051717,40.7190194,,N
668,-74.0051934,40.7198568,,N
669,-74.0052198,40.7206388,,N
670,-74.005248,40.721025,,N
671,-74.0053546,40.7222274,,N
672,-74.004786,40.723625,,N
673,-74.004575,40.724173,,N
674,-74.004031,40.725513,,N
675,-74.00373,40.72625,,N
676,-74.003445,40.726958,,N
677,-74.003155,40.727664,,N
678,-74.0021622,40.7297532,,N
679,-74.0017,40.7305503,,N
680,-74.0014113,40.7310625,,N
681,-74.000954,40.731706,,N
682,-74.000511,40.732315,,N
683,-74.000066,40.732929,,N
684,-73.9995234,40.7336634,,N
685,-73.998714,40.734784,,N
686,-73.998274,40.735391,,N
687,-73.997805,40.736032,,N
688,-73.996337,40.738044,,N
689,-73.995874,40.738686,,N
690,-73.995446,40.739272,,N
691,-73.994593,40.740442,,N
692,-73.9937398,40.7416174,,N
693,-73.9932916,40.7422328,,N
694,-73.992805,40.742901,,N
695,-73.991871,40.744186,,N
696,-73.9914152,40.7448072,,N
697,-73.990968,40.745421,,N
698,-73.990518,40.746038,,N
699,-73.989617,40.747277,,N
700,-73.9891568,40.7478958,,N
701,-73.9887,40.7485163,,N
702,-73.9882543,40.7491303,,N
703,-73.9877663,40.7497931,,N
704,-73.9872874,40.7504574,,N
705,-73.9868238,40.751088,,N
706,-73.986399,40.7517,,N
707,-73.985947,40.752317,,N
708,-73.985488,40.752935,,N
709,-73.9850397,40.7535585,,N
710,-73.984596,40.754177,,N
711,-73.984118,40.754842,,N
712,-73.983624,40.755516,,N
713,-73.9831665,40.7561421,,N
714,-73.9827118,40.7567712,,N
715,-73.9822537,40.7573902,,N
716,-73.9817975,40.7580163,,N
717,-73.981341,40.758645,,N
718,-73.9808828,40.7592744,,N
719,-73.9804176,40.7599106,,N
720,-73.9799722,40.7605248,,N
721,-73.9795173,40.7611421,,N
722,-73.979057,40.761771,,N
723,-73.978601,40.762396,,N
724,-73.9781397,40.763023,,N
725,-73.9776851,40.7636462,,N
726,-73.977196,40.764324,,N
727,-73.9766802,40.7650275,,N
728,-73.976244,40.7656797,,N
729,-74.0030858,40.7283942,,N
730,-73.9513728,40.7910468,,N
731,-73.9496351,40.7903176,,N
732,-73.9481484,40.7896812,,N
733,-73.9465562,40.7889961,,N
734,-73.9443246,40.7880644,,N
735,-73.9419364,40.7870603,,N
736,-74.0106317,40.7174635,,N
737,-74.0100927,40.7174024,,N
738,-74.0090579,40.7172851,,N
739,-74.0034172,40.7141186,,N
740,-74.0070959,40.716013,,N
741,-74.0083657,40.7166018,,N
742,-74.0091064,40.7169452,,N
743,-74.006932,40.7488769,,N
744,-74.0060705,40.7501781,,N
745,-74.0056363,40.7507886,,N
746,-74.0051843,40.7513932,,N
747,-74.0047377,40.7520155,,N
748,-74.003806,40.7532728,,N
749,-74.0024742,40.7551201,,N
750,-74.0019943,40.7557911,,N
751,-74.0015087,40.7564655,,N
752,-74.0010659,40.7570801,,N
753,-74.0006308,40.7576816,,N
754,-74.0001819,40.7582984,,N
755,-73.9992328,40.7595233,,N
756,-73.9988039,40.7601488,,N
757,-73.9983286,40.7608279,,N
758,-73.9978445,40.7615047,,N
759,-73.9973838,40.7621219,,N
760,-73.9969249,40.7627499,,N
761,-73.9964573,40.7633783,,N
762,-73.9960052,40.7640036,,N
763,-73.9955449,40.7646309,,N
764,-73.9950835,40.7652542,,N
765,-73.9946355,40.7658858,,N
766,-73.994173,40.766505,,N
767,-73.9937004,40.7671343,,N
768,-73.9932635,40.7677405,,N
769,-73.9927954,40.7683937,,N
770,-73.9923444,40.7690142,,N
771,-73.9918904,40.7696438,,N
772,-73.991402,40.7703191,,N
773,-73.990923,40.7709804,,N
774,-73.9904588,40.7716213,,N
775,-74.0051447,40.7294709,,N
776,-74.004688,40.730321,,N
777,-74.00446,40.730719,,N
778,-74.0042257,40.7311289,,N
779,-74.0037892,40.7318924,,N
780,-74.0030292,40.7332265,,N
781,-74.0028114,40.7336094,,N
782,-74.002395,40.7343413,,N
783,-74.0019682,40.7350834,,N
784,-74.0016967,40.7355352,,N
785,-74.0015452,40.7357944,,N
786,-74.001095,40.736564,,N
787,-74.0051183,40.7094091,,N
788,-73.9955052,40.7334469,,N
789,-73.993814,40.732731,,N
790,-73.9903509,40.7312807,,N
791,-73.9890529,40.7307238,,N
792,-73.986812,40.729779,,N
793,-73.9844396,40.7287826,,N
794,-73.982228,40.727846,,N
795,-73.979906,40.726866,,N
796,-73.9775364,40.7258829,,N
797,-73.975164,40.724877,,N
798,-73.9735174,40.7241822,,N
799,-73.937365,40.850645,,N
800,-73.9754056,40.7175925,,N
801,-73.9890921,40.7734934,,N
