Wagner Cove,0.00053834636,0.07684935,0.00014056463,0.0015101949,0.90122163,0.019739931
Throgs Neck Bridge,0.00027441478,0.10786959,7.1650895e-05,0.00077269017,0.6014538,0.28955784
National Park Service - Information Center on Liberty Island,0.00023312171,0.05659984,6.08691e-05,0.52037,0.29750028,0.12523594
De Witt Clinton Park,0.0003267164,0.00030657504,8.530705e-05,0.22751957,0.5783068,0.19345504
Christopher Columbus Statue,0.26658264,0.0005293272,0.012695793,0.03422654,0.6853414,0.00062430254
Skirball Center for the Performing Arts at NYU,0.00016269578,0.0932183,0.053714737,0.09561805,0.00025256173,0.7570337
National Academy of Design Museum,0.04004121,0.024077486,4.1088737e-05,0.89644563,0.00024426606,0.039150298
Ralph Bunche Park,0.25685632,0.055594258,9.025425e-05,0.37451053,0.31256613,0.00038255384
The Ansonia,0.5537808,0.00053646154,0.00014927487,0.40334058,0.00088744017,0.041305445
Italian American Museum,0.020029014,0.20674264,4.8628815e-05,0.7726845,0.00028909495,0.00020611883
79th Street Boat Basin,0.02019293,0.31239706,0.028510919,0.017414995,0.53957057,0.08191349
Alexander Hamilton Statue,0.03730061,0.00027007272,7.514999e-05,0.41106027,0.41700038,0.13429348
Inwood Park,0.00015916275,0.13022439,4.1558083e-05,0.089031465,0.6612412,0.119302265
The Chanin Building,0.30418974,0.0005366126,0.04064664,0.49420655,0.15978755,0.0006328956
I Heart Radio Theater,0.00037407936,0.00035101807,9.767371e-05,0.13085255,0.034965362,0.83335936
The Northern Dispensary,0.3100792,0.09866919,0.015469732,0.57507765,0.00041109862,0.00029309257
Sperone Westwater,0.15288942,0.00080989284,0.00022535944,0.84378046,0.0013396122,0.0009552099
Logos Bookstore,0.00069451483,0.46835902,0.00018134074,0.3570815,0.06681339,0.10687024
New York Grand Opera,0.21946289,0.00048466,0.06309285,0.3843597,0.00080172234,0.3317982
Canyon of Heroes,0.0012651335,0.0011871409,0.00033033182,0.2130348,0.52227354,0.26190904
Greater Zion Hill Baptist Church,0.52499765,0.0016228235,0.00045156418,0.26348874,0.002684625,0.20675458
Giuseppe Garibaldi Statue,0.0009628447,0.05691927,0.00025140308,0.439693,0.5011079,0.0010655994
The Lowline Lab,0.00028502813,0.058306936,7.442197e-05,0.67611533,0.19985534,0.06536295
Church of the Holy Trinity,0.5125279,0.00026745957,7.4422846e-05,0.24370387,0.24311097,0.00031545025
Castle Williams,0.00029800582,0.0002796346,7.7810655e-05,0.42893606,0.39470682,0.17570165
The Broken Kilometer,0.07963935,0.07285549,0.00010449581,0.8463365,0.0006212377,0.00044291702
Foxwoods Theater,5.4367385e-05,5.101577e-05,0.046098173,0.04260024,0.01380017,0.897396
Grey Art Gallery NYU,0.00048192122,0.00045221197,0.032385644,0.8346841,0.13146286,0.00053335197
William Cullen Bryant Statue,0.00027179727,0.00025504158,7.0967435e-05,0.54628724,0.39734173,0.055773236
Port Authority Bus Terminal,0.6921634,0.00026190854,7.2878225e-05,0.08418253,0.00043330505,0.22288595
Larry's Freewheeling,0.11451285,0.22380354,7.08541e-05,0.0441021,0.17694357,0.44056708
China Institute,0.04719964,0.050824862,0.016393853,0.87603277,0.009168972,0.00037988496
Fantasy Forest Amusement Park at the Flushing Meadows Carousel,0.00015662215,0.00014696688,4.0894738e-05,0.111516826,0.30395848,0.58418024
