id,lng,lat,depth,order
53407,-73.7857011,40.6888212,1,8920
53408,-73.7853588,40.6891577,3,36225
53409,-73.9234054,40.798529,53,56695
53410,-73.7876933,40.7076312,1,14411
53411,-73.9074124,40.7687892,3,34162
53412,-73.973993,40.7462422,2,34163
53413,-73.9756403,40.7471815,1,6788
53414,-73.9756853,40.7470444,3,40149
53415,-73.9516783,40.7411935,4,41893
53416,-73.9731928,40.7456132,2,37139
53417,-73.9505843,40.7415539,3,38006
53418,-73.9624703,40.8048929,4,44508
53419,-73.905504,40.7616659,5,48325
53420,-73.9057063,40.7617545,1,16906
53421,-73.848,40.6698322,1,8921
53422,-73.9015511,40.8481138,3,34164
53423,-74.1620186,40.5951747,2,30034
53424,-74.1625259,40.6045248,2,30035
53425,-73.9820853,40.7729853,3,39491
53426,-73.9638956,40.761245,13,54416
53427,-73.9709376,40.7451712,2,23520
53428,-73.9615014,40.7602517,1,24876
53429,-73.9692162,40.7634876,8,50647
53430,-73.9694372,40.7635803,7,49731
53431,-73.9661155,40.762187,4,46328
53432,-74.0764117,40.5985825,1,3525
53433,-74.2247291,40.5085002,1,15934
53434,-73.878166,40.771693,2,24097
53435,-73.9479214,40.7871229,4,40765
53436,-73.867151,40.770058,1,16179
53437,-73.9459707,40.7720711,1,3526
53438,-74.1227468,40.6106628,1,3527
53439,-74.2366521,40.5115009,3,37140
53440,-74.2372587,40.5112144,1,3528
53441,-73.9186341,40.6323882,2,25145
53442,-73.9573212,40.8169158,1,13130
53443,-73.7899724,40.7660389,1,8922
53444,-73.9940304,40.5936926,3,36226
53445,-73.8471933,40.7448449,24,56108
53446,-73.8447889,40.7359594,1,14412
53447,-73.8456935,40.7395599,4,45185
53448,-73.8398322,40.742556,1,13131
53449,-73.8348853,40.7436472,5,45501
53450,-73.8371314,40.7397623,3,39492
53451,-73.8347873,40.7496953,4,44509
53452,-73.833438,40.7288508,2,32952
53453,-73.8355372,40.7452254,2,32953
53454,-73.833078,40.7299076,2,17814
53455,-73.8305636,40.7252983,1,16180
53456,-73.8491364,40.7488506,3,37141
53457,-73.8488153,40.7489058,2,25146
53458,-73.8492855,40.7491713,2,31566
53459,-73.849441,40.748024,4,41337
53460,-73.8325897,40.7430955,5,46329
53461,-73.8355923,40.722203,11,54117
53462,-73.8428486,40.7322463,8,51993
53463,-73.8296594,40.7170175,2,34165
53464,-73.7794823,40.7777045,2,23521
53465,-74.0064875,40.7330397,3,36227
53466,-74.0069382,40.7302326,1,13132
53467,-74.0062687,40.7344236,1,13133
53468,-74.0060412,40.7358319,2,26031
53469,-74.0067051,40.7316793,2,31567
53470,-74.0068914,40.729884,3,35243
53471,-74.0031635,40.7391128,1,6789
53472,-74.0055274,40.7368828,11,53190
53473,-73.7603766,40.7284782,6,48326
53474,-73.7570884,40.7251958,2,6790
53475,-73.7729301,40.7473314,4,39493
53476,-73.7685322,40.7454832,1,18141
53477,-73.7705507,40.7453206,1,15037
53478,-73.7629378,40.7470341,5,45502
53479,-73.7716994,40.7440538,2,31568
53480,-73.7711597,40.7453726,3,34166
53481,-73.7673533,40.7355725,2,26291
53482,-74.005314,40.736611,1,14413
53483,-73.8484245,40.8275412,1,24234
53484,-73.8718189,40.824318,3,37142
53485,-73.8766781,40.8382463,2,32954
53486,-73.8816074,40.8382097,6,45802
53487,-73.8759317,40.837878,1,15038
53488,-73.8824287,40.838502,5,47277
53489,-73.8812494,40.8385226,1,7950
53490,-73.8841245,40.8326535,4,40766
53491,-74.2299218,40.5073327,1,15935
53492,-73.9319893,40.7954407,1,3529
53493,-73.8017018,40.5866318,2,34167
53494,-73.8666052,40.7710161,2,24270
53495,-73.9625912,40.8100199,1,15039
53496,-73.9623955,40.8099318,2,16479
53497,-73.9630594,40.8093706,3,41894
53498,-73.9628599,40.8092888,4,42377
53499,-73.8474545,40.8713687,1,8923
53500,-73.8477156,40.8712312,2,22336
53501,-73.8416695,40.8680973,3,35244
53502,-73.8393543,40.8671138,1,8924
53503,-73.8395778,40.8670037,2,24098
53504,-73.8365988,40.8657071,2,24099
53505,-73.8510818,40.8724934,1,8925
53506,-73.8504198,40.8912138,2,31569
53507,-73.8456333,40.8880638,1,8926
53508,-73.845688,40.8878777,2,17929
53509,-73.9881883,40.7483016,3,36228
53510,-73.8294291,40.8886521,1,4012
53511,-73.8587291,40.8637723,1,8927
53512,-73.8584632,40.8637895,2,24296
53513,-74.1693339,40.5269116,1,3530
53514,-74.1708323,40.5300783,1,3531
53515,-74.0613395,40.5997324,3,31570
53516,-73.8017241,40.7787485,1,14414
53517,-73.873303,40.8026537,1,3532
53518,-73.9493157,40.7306689,2,23522
53519,-74.1199551,40.5756124,1,3533
53520,-73.7917337,40.6633969,1,3534
